bed_id,bed_code,bed_number,bed_status,ward_id,ward_type,bed_type,room_number,daily_charge,oxygen_supported,ventilator_supported,maintenance_status,bed_condition,last_sanitized_date,sanitation_frequency,created_date,updated_date
87,BED-000087,7-2,Available,7,Private,Private Bed,R-7,8000,True,False,Operational,Excellent,2024-12-25,Daily,2023-01-01,2025-01-01
88,BED-000088,7-3,Occupied,7,Private,Private Bed,R-7,8000,True,False,Operational,Good,2024-12-23,Daily,2023-01-01,2025-01-01
89,BED-000089,7-4,Occupied,7,Private,Private Bed,R-7,8000,True,False,Operational,Excellent,2024-12-03,Daily,2023-01-01,2025-01-01
90,BED-000090,7-5,Occupied,7,Private,Private Bed,R-7,8000,True,False,Operational,Excellent,2024-12-02,Daily,2023-01-01,2025-01-01
91,BED-000091,7-6,Occupied,7,Private,Private Bed,R-7,8000,True,False,Operational,Excellent,2024-12-27,Daily,2023-01-01,2025-01-01
92,BED-000092,7-7,Available,7,Private,Private Bed,R-7,8000,True,False,Operational,Excellent,2024-12-12,Daily,2023-01-01,2025-01-01
93,BED-000093,7-8,Occupied,7,Private,Private Bed,R-7,8000,True,False,Operational,Excellent,2024-12-16,Daily,2023-01-01,2025-01-01
94,BED-000094,7-9,Occupied,7,Private,Private Bed,R-7,8000,True,False,Operational,Excellent,2024-12-07,Daily,2023-01-01,2025-01-01
95,BED-000095,7-10,Available,7,Private,Private Bed,R-7,8000,True,False,Operational,Excellent,2025-01-01,Daily,2023-01-01,2025-01-01
96,BED-000096,7-11,Occupied,7,Private,Private Bed,R-7,8000,True,False,Operational,Excellent,2024-12-04,Daily,2023-01-01,2025-01-01
97,BED-000097,7-12,Occupied,7,Private,Private Bed,R-7,8000,True,False,Operational,Good,2024-12-07,Daily,2023-01-01,2025-01-01
98,BED-000098,7-13,Available,7,Private,Private Bed,R-7,8000,True,False,Operational,Excellent,2024-12-22,Daily,2023-01-01,2025-01-01
99,BED-000099,7-14,Available,7,Private,Private Bed,R-7,8000,True,False,Operational,Excellent,2024-12-19,Daily,2023-01-01,2025-01-01
100,BED-000100,7-15,Occupied,7,Private,Private Bed,R-7,8000,True,False,Operational,Excellent,2024-12-23,Daily,2023-01-01,2025-01-01
101,BED-000101,8-1,Occupied,8,General,General Bed,R-8,2500,False,False,Operational,Needs Repair,2024-12-26,Daily,2023-01-01,2025-01-01
102,BED-000102,8-2,Occupied,8,General,General Bed,R-8,2500,False,False,Operational,Needs Repair,2024-12-15,Daily,2023-01-01,2025-01-01
103,BED-000103,8-3,Occupied,8,General,General Bed,R-8,2500,False,False,Operational,Good,2024-12-09,Daily,2023-01-01,2025-01-01
104,BED-000104,8-4,Available,8,General,General Bed,R-8,2500,False,False,Operational,Excellent,2024-12-27,Daily,2023-01-01,2025-01-01
105,BED-000105,8-5,Available,8,General,General Bed,R-8,2500,False,False,Operational,Good,2024-12-31,Daily,2023-01-01,2025-01-01
106,BED-000106,8-6,Available,8,General,General Bed,R-8,2500,False,False,Operational,Excellent,2024-12-18,Daily,2023-01-01,2025-01-01
107,BED-000107,8-7,Occupied,8,General,General Bed,R-8,2500,False,False,Operational,Excellent,2025-01-01,Daily,2023-01-01,2025-01-01
108,BED-000108,8-8,Occupied,8,General,General Bed,R-8,2500,False,False,Operational,Excellent,2024-12-05,Daily,2023-01-01,2025-01-01
109,BED-000109,8-9,Available,8,General,General Bed,R-8,2500,False,False,Operational,Excellent,2024-12-12,Daily,2023-01-01,2025-01-01
110,BED-000110,8-10,Occupied,8,General,General Bed,R-8,2500,False,False,Operational,Excellent,2024-12-30,Daily,2023-01-01,2025-01-01
111,BED-000111,9-1,Occupied,9,General,General Bed,R-9,2500,False,False,Operational,Excellent,2024-12-15,Daily,2023-01-01,2025-01-01
112,BED-000112,9-2,Occupied,9,General,General Bed,R-9,2500,False,False,Operational,Excellent,2024-12-21,Daily,2023-01-01,2025-01-01
113,BED-000113,9-3,Occupied,9,General,General Bed,R-9,2500,False,False,Operational,Excellent,2024-12-10,Daily,2023-01-01,2025-01-01
114,BED-000114,9-4,Available,9,General,General Bed,R-9,2500,False,False,Operational,Good,2024-12-17,Daily,2023-01-01,2025-01-01
115,BED-000115,9-5,Available,9,General,General Bed,R-9,2500,False,False,Operational,Excellent,2024-12-24,Daily,2023-01-01,2025-01-01
116,BED-000116,9-6,Occupied,9,General,General Bed,R-9,2500,False,False,Operational,Excellent,2024-12-31,Daily,2023-01-01,2025-01-01
117,BED-000117,9-7,Available,9,General,General Bed,R-9,2500,False,False,Operational,Excellent,2024-12-26,Daily,2023-01-01,2025-01-01
118,BED-000118,9-8,Occupied,9,General,General Bed,R-9,2500,False,False,Operational,Excellent,2024-12-12,Daily,2023-01-01,2025-01-01
119,BED-000119,9-9,Occupied,9,General,General Bed,R-9,2500,False,False,Operational,Excellent,2024-12-13,Daily,2023-01-01,2025-01-01
120,BED-000120,9-10,Available,9,General,General Bed,R-9,2500,False,False,Operational,Excellent,2024-12-09,Daily,2023-01-01,2025-01-01
121,BED-000121,10-1,Occupied,10,General,General Bed,R-10,2500,False,False,Operational,Excellent,2024-12-21,Daily,2023-01-01,2025-01-01
122,BED-000122,10-2,Occupied,10,General,General Bed,R-10,2500,False,False,Operational,Good,2024-12-22,Daily,2023-01-01,2025-01-01
123,BED-000123,10-3,Occupied,10,General,General Bed,R-10,2500,False,False,Operational,Good,2024-12-08,Daily,2023-01-01,2025-01-01
124,BED-000124,10-4,Occupied,10,General,General Bed,R-10,2500,False,False,Operational,Excellent,2024-12-27,Daily,2023-01-01,2025-01-01
125,BED-000125,10-5,Available,10,General,General Bed,R-10,2500,False,False,Operational,Excellent,2024-12-23,Daily,2023-01-01,2025-01-01
126,BED-000126,10-6,Occupied,10,General,General Bed,R-10,2500,False,False,Operational,Excellent,2024-12-30,Daily,2023-01-01,2025-01-01
127,BED-000127,10-7,Available,10,General,General Bed,R-10,2500,False,False,Operational,Needs Repair,2024-12-29,Daily,2023-01-01,2025-01-01
128,BED-000128,10-8,Available,10,General,General Bed,R-10,2500,False,False,Operational,Excellent,2024-12-28,Daily,2023-01-01,2025-01-01
129,BED-000129,10-9,Occupied,10,General,General Bed,R-10,2500,False,False,Operational,Excellent,2024-12-11,Daily,2023-01-01,2025-01-01
130,BED-000130,10-10,Available,10,General,General Bed,R-10,2500,False,False,Operational,Good,2024-12-31,Daily,2023-01-01,2025-01-01
131,BED-000131,10-11,Available,10,General,General Bed,R-10,2500,False,False,Operational,Excellent,2024-12-06,Daily,2023-01-01,2025-01-01
132,BED-000132,10-12,Occupied,10,General,General Bed,R-10,2500,False,False,Operational,Excellent,2024-12-15,Daily,2023-01-01,2025-01-01
133,BED-000133,10-13,Occupied,10,General,General Bed,R-10,2500,False,False,Operational,Excellent,2024-12-26,Daily,2023-01-01,2025-01-01
134,BED-000134,10-14,Occupied,10,General,General Bed,R-10,2500,False,False,Operational,Excellent,2024-12-28,Daily,2023-01-01,2025-01-01
135,BED-000135,10-15,Occupied,10,General,General Bed,R-10,2500,False,False,Operational,Excellent,2024-12-30,Daily,2023-01-01,2025-01-01
136,BED-000136,10-16,Available,10,General,General Bed,R-10,2500,False,False,Operational,Excellent,2025-01-01,Daily,2023-01-01,2025-01-01
137,BED-000137,10-17,Occupied,10,General,General Bed,R-10,2500,False,False,Operational,Excellent,2024-12-11,Daily,2023-01-01,2025-01-01
138,BED-000138,10-18,Occupied,10,General,General Bed,R-10,2500,False,False,Operational,Good,2024-12-26,Daily,2023-01-01,2025-01-01
139,BED-000139,10-19,Occupied,10,General,General Bed,R-10,2500,False,False,Operational,Excellent,2024-12-14,Daily,2023-01-01,2025-01-01
140,BED-000140,10-20,Available,10,General,General Bed,R-10,2500,False,False,Operational,Excellent,2024-12-06,Daily,2023-01-01,2025-01-01
141,BED-000141,11-1,Occupied,11,General,General Bed,R-11,2500,False,False,Operational,Excellent,2024-12-08,Daily,2023-01-01,2025-01-01
142,BED-000142,11-2,Occupied,11,General,General Bed,R-11,2500,False,False,Operational,Excellent,2024-12-10,Daily,2023-01-01,2025-01-01
143,BED-000143,11-3,Available,11,General,General Bed,R-11,2500,False,False,Operational,Excellent,2025-01-01,Daily,2023-01-01,2025-01-01
144,BED-000144,11-4,Occupied,11,General,General Bed,R-11,2500,False,False,Operational,Excellent,2024-12-17,Daily,2023-01-01,2025-01-01
145,BED-000145,11-5,Occupied,11,General,General Bed,R-11,2500,False,False,Operational,Good,2024-12-27,Daily,2023-01-01,2025-01-01
146,BED-000146,11-6,Occupied,11,General,General Bed,R-11,2500,False,False,Operational,Excellent,2024-12-26,Daily,2023-01-01,2025-01-01
147,BED-000147,11-7,Available,11,General,General Bed,R-11,2500,False,False,Operational,Excellent,2024-12-03,Daily,2023-01-01,2025-01-01
148,BED-000148,11-8,Available,11,General,General Bed,R-11,2500,False,False,Operational,Good,2024-12-29,Daily,2023-01-01,2025-01-01
149,BED-000149,11-9,Available,11,General,General Bed,R-11,2500,False,False,Operational,Needs Repair,2024-12-17,Daily,2023-01-01,2025-01-01
150,BED-000150,11-10,Occupied,11,General,General Bed,R-11,2500,False,False,Operational,Good,2024-12-24,Daily,2023-01-01,2025-01-01
151,BED-000151,11-11,Occupied,11,General,General Bed,R-11,2500,False,False,Operational,Excellent,2024-12-05,Daily,2023-01-01,2025-01-01
152,BED-000152,11-12,Occupied,11,General,General Bed,R-11,2500,False,False,Operational,Needs Repair,2024-12-29,Daily,2023-01-01,2025-01-01
153,BED-000153,11-13,Occupied,11,General,General Bed,R-11,2500,False,False,Operational,Excellent,2024-12-03,Daily,2023-01-01,2025-01-01
154,BED-000154,11-14,Occupied,11,General,General Bed,R-11,2500,False,False,Operational,Good,2024-12-04,Daily,2023-01-01,2025-01-01
155,BED-000155,11-15,Occupied,11,General,General Bed,R-11,2500,False,False,Operational,Excellent,2024-12-08,Daily,2023-01-01,2025-01-01
156,BED-000156,11-16,Occupied,11,General,General Bed,R-11,2500,False,False,Operational,Excellent,2024-12-25,Daily,2023-01-01,2025-01-01
157,BED-000157,11-17,Available,11,General,General Bed,R-11,2500,False,False,Operational,Good,2024-12-17,Daily,2023-01-01,2025-01-01
158,BED-000158,11-18,Occupied,11,General,General Bed,R-11,2500,False,False,Operational,Good,2024-12-21,Daily,2023-01-01,2025-01-01
159,BED-000159,11-19,Available,11,General,General Bed,R-11,2500,False,False,Operational,Needs Repair,2024-12-19,Daily,2023-01-01,2025-01-01
160,BED-000160,11-20,Available,11,General,General Bed,R-11,2500,False,False,Operational,Needs Repair,2024-12-23,Daily,2023-01-01,2025-01-01
161,BED-000161,12-1,Occupied,12,General,General Bed,R-12,2500,False,False,Operational,Good,2025-01-01,Daily,2023-01-01,2025-01-01
162,BED-000162,12-2,Available,12,General,General Bed,R-12,2500,False,False,Operational,Good,2024-12-12,Daily,2023-01-01,2025-01-01
163,BED-000163,12-3,Occupied,12,General,General Bed,R-12,2500,False,False,Operational,Excellent,2024-12-30,Daily,2023-01-01,2025-01-01
164,BED-000164,12-4,Available,12,General,General Bed,R-12,2500,False,False,Operational,Excellent,2024-12-03,Daily,2023-01-01,2025-01-01
165,BED-000165,12-5,Occupied,12,General,General Bed,R-12,2500,False,False,Operational,Excellent,2024-12-30,Daily,2023-01-01,2025-01-01
166,BED-000166,12-6,Occupied,12,General,General Bed,R-12,2500,False,False,Operational,Excellent,2024-12-25,Daily,2023-01-01,2025-01-01
167,BED-000167,12-7,Occupied,12,General,General Bed,R-12,2500,False,False,Operational,Excellent,2024-12-22,Daily,2023-01-01,2025-01-01
168,BED-000168,12-8,Occupied,12,General,General Bed,R-12,2500,False,False,Operational,Excellent,2024-12-15,Daily,2023-01-01,2025-01-01
169,BED-000169,12-9,Available,12,General,General Bed,R-12,2500,False,False,Operational,Excellent,2024-12-22,Daily,2023-01-01,2025-01-01
170,BED-000170,12-10,Available,12,General,General Bed,R-12,2500,False,False,Operational,Excellent,2024-12-02,Daily,2023-01-01,2025-01-01
171,BED-000171,12-11,Available,12,General,General Bed,R-12,2500,False,False,Operational,Excellent,2024-12-24,Daily,2023-01-01,2025-01-01
172,BED-000172,12-12,Occupied,12,General,General Bed,R-12,2500,False,False,Operational,Excellent,2024-12-11,Daily,2023-01-01,2025-01-01
173,BED-000173,12-13,Occupied,12,General,General Bed,R-12,2500,False,False,Operational,Good,2024-12-26,Daily,2023-01-01,2025-01-01
174,BED-000174,12-14,Occupied,12,General,General Bed,R-12,2500,False,False,Operational,Excellent,2024-12-18,Daily,2023-01-01,2025-01-01
175,BED-000175,12-15,Occupied,12,General,General Bed,R-12,2500,False,False,Operational,Excellent,2024-12-28,Daily,2023-01-01,2025-01-01
176,BED-000176,12-16,Occupied,12,General,General Bed,R-12,2500,False,False,Operational,Good,2024-12-10,Daily,2023-01-01,2025-01-01
177,BED-000177,12-17,Maintenance,12,General,General Bed,R-12,2500,False,False,Under Maintenance,Needs Repair,2024-12-18,Daily,2023-01-01,2025-01-01
178,BED-000178,12-18,Occupied,12,General,General Bed,R-12,2500,False,False,Operational,Good,2024-12-06,Daily,2023-01-01,2025-01-01
179,BED-000179,12-19,Occupied,12,General,General Bed,R-12,2500,False,False,Operational,Needs Repair,2024-12-20,Daily,2023-01-01,2025-01-01
180,BED-000180,12-20,Available,12,General,General Bed,R-12,2500,False,False,Operational,Excellent,2024-12-31,Daily,2023-01-01,2025-01-01
181,BED-000181,13-1,Occupied,13,Private,Private Bed,R-13,8000,True,False,Operational,Excellent,2024-12-26,Daily,2023-01-01,2025-01-01
182,BED-000182,13-2,Available,13,Private,Private Bed,R-13,8000,True,False,Operational,Excellent,2024-12-30,Daily,2023-01-01,2025-01-01
183,BED-000183,13-3,Available,13,Private,Private Bed,R-13,8000,True,False,Operational,Excellent,2024-12-02,Daily,2023-01-01,2025-01-01
184,BED-000184,13-4,Occupied,13,Private,Private Bed,R-13,8000,True,False,Operational,Excellent,2024-12-19,Daily,2023-01-01,2025-01-01
185,BED-000185,13-5,Occupied,13,Private,Private Bed,R-13,8000,True,False,Operational,Good,2024-12-11,Daily,2023-01-01,2025-01-01
186,BED-000186,13-6,Occupied,13,Private,Private Bed,R-13,8000,True,False,Operational,Excellent,2024-12-26,Daily,2023-01-01,2025-01-01
187,BED-000187,13-7,Maintenance,13,Private,Private Bed,R-13,8000,True,False,Under Maintenance,Excellent,2024-12-02,Daily,2023-01-01,2025-01-01
188,BED-000188,13-8,Occupied,13,Private,Private Bed,R-13,8000,True,False,Operational,Excellent,2024-12-23,Daily,2023-01-01,2025-01-01
189,BED-000189,13-9,Occupied,13,Private,Private Bed,R-13,8000,True,False,Operational,Excellent,2024-12-18,Daily,2023-01-01,2025-01-01
190,BED-000190,13-10,Available,13,Private,Private Bed,R-13,8000,True,False,Operational,Excellent,2024-12-03,Daily,2023-01-01,2025-01-01
191,BED-000191,13-11,Available,13,Private,Private Bed,R-13,8000,True,False,Operational,Excellent,2024-12-23,Daily,2023-01-01,2025-01-01
192,BED-000192,13-12,Occupied,13,Private,Private Bed,R-13,8000,True,False,Operational,Excellent,2025-01-01,Daily,2023-01-01,2025-01-01
193,BED-000193,13-13,Occupied,13,Private,Private Bed,R-13,8000,True,False,Operational,Excellent,2024-12-06,Daily,2023-01-01,2025-01-01
194,BED-000194,13-14,Occupied,13,Private,Private Bed,R-13,8000,True,False,Operational,Needs Repair,2024-12-07,Daily,2023-01-01,2025-01-01
195,BED-000195,13-15,Available,13,Private,Private Bed,R-13,8000,True,False,Operational,Excellent,2024-12-12,Daily,2023-01-01,2025-01-01
