assignment_id,employee_id,department_id,ward_id,admission_id,assignment_date,shift_type,shift_start_time,shift_end_time,assignment_role,assignment_status,supervisor_id,remarks,created_by,updated_by,created_date,updated_date
30,81,11,23,18228,2025-06-30,Morning,07:00:00,15:00:00,Emergency Technician,Completed,34,Emergency Coverage,System,System,2025-06-30,2025-07-02
31,87,11,2,8681,2023-08-06,Night,23:00:00,07:00:00,Staff Nurse,Active,17,Temporary Assignment,System,System,2023-08-06,2023-08-07
32,88,10,4,19361,2024-04-18,Night,23:00:00,07:00:00,Lab Technician,Active,165,System Generated,System,System,2024-04-18,2024-04-24
33,89,3,19,18344,2024-03-07,Evening,15:00:00,23:00:00,Emergency Technician,Completed,153,Temporary Assignment,System,System,2024-03-07,2024-03-08
34,94,7,2,5760,2023-12-07,Morning,07:00:00,15:00:00,Ward Assistant,Active,486,Temporary Assignment,System,System,2023-12-07,2023-12-08
35,95,4,9,23079,2024-07-04,Morning,07:00:00,15:00:00,Staff Nurse,Active,378,Emergency Coverage,System,System,2024-07-04,2024-07-09
36,97,9,8,35154,2023-12-23,Evening,15:00:00,23:00:00,Lab Technician,Active,76,System Generated,System,System,2023-12-23,2023-12-24
37,99,3,12,11112,2023-01-23,Morning,07:00:00,15:00:00,Emergency Technician,Completed,87,Emergency Coverage,System,System,2023-01-23,2023-01-27
38,101,5,13,37505,2024-06-05,Night,23:00:00,07:00:00,Pharmacist,Active,117,System Generated,System,System,2024-06-05,2024-06-08
39,105,3,5,1803,2025-03-12,Evening,15:00:00,23:00:00,Emergency Technician,Active,362,Shift Completed,System,System,2025-03-12,2025-03-12
40,106,7,15,8156,2025-01-31,Morning,07:00:00,15:00:00,Pharmacist,Completed,342,System Generated,System,System,2025-01-31,2025-02-02
41,108,5,20,8121,2024-03-17,Night,23:00:00,07:00:00,Emergency Technician,Completed,469,Emergency Coverage,System,System,2024-03-17,2024-03-21
42,109,9,23,39385,2025-02-07,Evening,15:00:00,23:00:00,Emergency Technician,Active,27,Temporary Assignment,System,System,2025-02-07,2025-02-07
43,111,7,22,21919,2025-10-12,Evening,15:00:00,23:00:00,Reception Executive,Active,313,System Generated,System,System,2025-10-12,2025-10-18
44,112,2,24,20446,2024-05-30,Night,23:00:00,07:00:00,Ward Assistant,Active,287,System Generated,System,System,2024-05-30,2024-06-05
45,113,4,11,30307,2025-11-05,Morning,07:00:00,15:00:00,Staff Nurse,Completed,134,On Duty,System,System,2025-11-05,2025-11-11
46,114,9,27,16647,2025-03-02,Evening,15:00:00,23:00:00,Staff Nurse,Active,219,Temporary Assignment,System,System,2025-03-02,2025-03-06
47,115,2,16,31066,2023-12-02,Evening,15:00:00,23:00:00,Pharmacist,Active,168,Shift Completed,System,System,2023-12-02,2023-12-06
48,118,10,24,25200,2023-09-15,Evening,15:00:00,23:00:00,Lab Technician,Completed,98,Emergency Coverage,System,System,2023-09-15,2023-09-17
49,119,9,11,41977,2024-05-11,Night,23:00:00,07:00:00,Lab Technician,Completed,268,Shift Completed,System,System,2024-05-11,2024-05-14
50,123,10,22,16372,2025-06-14,Morning,07:00:00,15:00:00,Staff Nurse,Active,237,Temporary Assignment,System,System,2025-06-14,2025-06-15
51,126,5,25,11836,2023-06-09,Evening,15:00:00,23:00:00,Staff Nurse,Completed,309,System Generated,System,System,2023-06-09,2023-06-15
52,129,2,23,2050,2025-05-01,Night,23:00:00,07:00:00,Staff Nurse,Active,455,System Generated,System,System,2025-05-01,2025-05-06
53,130,4,11,31617,2024-11-20,Night,23:00:00,07:00:00,Ward Assistant,Completed,394,Temporary Assignment,System,System,2024-11-20,2024-11-23
54,133,7,21,38192,2024-01-15,Evening,15:00:00,23:00:00,Emergency Technician,Active,173,System Generated,System,System,2024-01-15,2024-01-20
55,136,8,14,20933,2025-08-14,Morning,07:00:00,15:00:00,Ward Assistant,Active,401,System Generated,System,System,2025-08-14,2025-08-16
56,137,3,18,29856,2024-11-21,Night,23:00:00,07:00:00,Ward Assistant,Completed,410,System Generated,System,System,2024-11-21,2024-11-23
57,138,1,7,7159,2025-12-02,Night,23:00:00,07:00:00,Reception Executive,Active,469,Emergency Coverage,System,System,2025-12-02,2025-12-04
58,139,4,26,43017,2023-10-12,Morning,07:00:00,15:00:00,Ward Assistant,Active,476,Emergency Coverage,System,System,2023-10-12,2023-10-12
59,140,2,6,7401,2024-02-01,Night,23:00:00,07:00:00,Ward Assistant,Active,190,On Duty,System,System,2024-02-01,2024-02-06
60,142,8,25,42643,2023-01-12,Evening,15:00:00,23:00:00,Pharmacist,Active,122,Shift Completed,System,System,2023-01-12,2023-01-15
61,143,4,24,15152,2024-05-13,Night,23:00:00,07:00:00,Ward Assistant,Active,46,Temporary Assignment,System,System,2024-05-13,2024-05-16
62,144,2,17,1155,2025-01-23,Morning,07:00:00,15:00:00,Lab Technician,Active,64,Temporary Assignment,System,System,2025-01-23,2025-01-27
63,146,6,6,4500,2023-02-04,Morning,07:00:00,15:00:00,Reception Executive,Active,130,Temporary Assignment,System,System,2023-02-04,2023-02-08
64,148,6,20,6296,2024-12-27,Morning,07:00:00,15:00:00,Reception Executive,Active,310,On Duty,System,System,2024-12-27,2025-01-02
65,155,10,25,12184,2025-04-28,Night,23:00:00,07:00:00,Staff Nurse,Active,363,Emergency Coverage,System,System,2025-04-28,2025-05-02
66,156,4,9,29300,2023-03-31,Morning,07:00:00,15:00:00,Reception Executive,Active,193,On Duty,System,System,2023-03-31,2023-04-02
67,158,6,3,12875,2025-02-14,Morning,07:00:00,15:00:00,Ward Assistant,Completed,307,Temporary Assignment,System,System,2025-02-14,2025-02-17
68,159,2,24,32712,2024-08-27,Morning,07:00:00,15:00:00,Staff Nurse,Active,181,Shift Completed,System,System,2024-08-27,2024-09-01
69,160,10,18,5540,2025-08-27,Night,23:00:00,07:00:00,Ward Assistant,Active,292,System Generated,System,System,2025-08-27,2025-08-29
70,164,2,25,42406,2025-10-18,Evening,15:00:00,23:00:00,Reception Executive,Active,371,Emergency Coverage,System,System,2025-10-18,2025-10-18
71,167,10,2,2558,2024-02-22,Night,23:00:00,07:00:00,Ward Assistant,Completed,282,Emergency Coverage,System,System,2024-02-22,2024-02-26
72,168,4,25,38361,2023-04-25,Night,23:00:00,07:00:00,Staff Nurse,Active,29,On Duty,System,System,2023-04-25,2023-04-27
73,169,8,22,16483,2024-09-08,Evening,15:00:00,23:00:00,Lab Technician,Active,149,Emergency Coverage,System,System,2024-09-08,2024-09-10
74,174,7,3,2201,2025-04-05,Evening,15:00:00,23:00:00,Staff Nurse,Active,267,Temporary Assignment,System,System,2025-04-05,2025-04-05
75,175,9,9,2962,2024-02-17,Night,23:00:00,07:00:00,Staff Nurse,Active,296,Temporary Assignment,System,System,2024-02-17,2024-02-18
76,183,8,17,21358,2024-12-29,Evening,15:00:00,23:00:00,Staff Nurse,Active,11,On Duty,System,System,2024-12-29,2025-01-01
77,188,5,22,11970,2025-10-17,Evening,15:00:00,23:00:00,Staff Nurse,Completed,164,Temporary Assignment,System,System,2025-10-17,2025-10-22
78,191,2,16,2870,2025-01-30,Morning,07:00:00,15:00:00,Staff Nurse,Completed,113,Shift Completed,System,System,2025-01-30,2025-02-05
79,192,5,8,28644,2024-11-06,Morning,07:00:00,15:00:00,Staff Nurse,Active,187,On Duty,System,System,2024-11-06,2024-11-07
80,196,8,6,24737,2024-04-01,Night,23:00:00,07:00:00,Lab Technician,Active,295,Shift Completed,System,System,2024-04-01,2024-04-05
81,199,10,17,38468,2025-07-08,Evening,15:00:00,23:00:00,Staff Nurse,Completed,232,System Generated,System,System,2025-07-08,2025-07-10
82,201,9,15,23329,2023-07-11,Night,23:00:00,07:00:00,Ward Assistant,Active,227,Shift Completed,System,System,2023-07-11,2023-07-11
83,203,9,3,25877,2025-01-08,Evening,15:00:00,23:00:00,Reception Executive,Active,310,System Generated,System,System,2025-01-08,2025-01-08
84,205,1,5,21296,2025-09-04,Morning,07:00:00,15:00:00,Ward Assistant,Active,98,System Generated,System,System,2025-09-04,2025-09-07
85,208,9,2,3988,2025-10-05,Morning,07:00:00,15:00:00,Lab Technician,Active,55,Shift Completed,System,System,2025-10-05,2025-10-06
86,210,7,19,22400,2023-04-06,Evening,15:00:00,23:00:00,Staff Nurse,Active,111,On Duty,System,System,2023-04-06,2023-04-12
87,211,9,13,33987,2024-10-24,Morning,07:00:00,15:00:00,Staff Nurse,Active,152,Temporary Assignment,System,System,2024-10-24,2024-10-27
88,214,8,24,20881,2023-02-06,Morning,07:00:00,15:00:00,Staff Nurse,Completed,246,Temporary Assignment,System,System,2023-02-06,2023-02-08
89,215,1,7,4736,2023-10-06,Night,23:00:00,07:00:00,Staff Nurse,Completed,406,System Generated,System,System,2023-10-06,2023-10-09
90,220,8,10,44065,2023-08-05,Night,23:00:00,07:00:00,Staff Nurse,Active,69,System Generated,System,System,2023-08-05,2023-08-10
91,221,8,23,4556,2025-05-16,Evening,15:00:00,23:00:00,Staff Nurse,Active,312,On Duty,System,System,2025-05-16,2025-05-16
92,222,11,22,41915,2025-05-22,Night,23:00:00,07:00:00,Staff Nurse,Cancelled,289,Emergency Coverage,System,System,2025-05-22,2025-05-22
93,223,3,8,40819,2023-03-03,Morning,07:00:00,15:00:00,Staff Nurse,Completed,250,Shift Completed,System,System,2023-03-03,2023-03-07
94,224,1,27,19831,2024-08-18,Evening,15:00:00,23:00:00,Ward Assistant,Active,36,System Generated,System,System,2024-08-18,2024-08-22
95,226,8,19,17430,2024-12-29,Evening,15:00:00,23:00:00,Staff Nurse,Completed,239,Temporary Assignment,System,System,2024-12-29,2025-01-04
96,230,3,23,6894,2024-02-01,Morning,07:00:00,15:00:00,Ward Assistant,Completed,148,On Duty,System,System,2024-02-01,2024-02-03
97,231,3,2,14374,2024-11-29,Night,23:00:00,07:00:00,Ward Assistant,Active,467,Shift Completed,System,System,2024-11-29,2024-12-04
98,234,1,10,3437,2025-11-08,Night,23:00:00,07:00:00,Lab Technician,Active,227,On Duty,System,System,2025-11-08,2025-11-09
99,236,11,16,8755,2023-06-26,Night,23:00:00,07:00:00,Staff Nurse,Active,244,Shift Completed,System,System,2023-06-26,2023-06-29
100,237,5,25,10678,2024-01-31,Evening,15:00:00,23:00:00,Pharmacist,Active,491,Shift Completed,System,System,2024-01-31,2024-02-06
101,238,10,14,5896,2024-03-20,Evening,15:00:00,23:00:00,Lab Technician,Active,337,System Generated,System,System,2024-03-20,2024-03-22
102,241,7,26,19739,2023-03-17,Morning,07:00:00,15:00:00,Staff Nurse,Completed,446,On Duty,System,System,2023-03-17,2023-03-21
103,242,10,24,30747,2023-09-22,Night,23:00:00,07:00:00,Reception Executive,Active,365,On Duty,System,System,2023-09-22,2023-09-25
104,245,9,9,32353,2024-03-30,Evening,15:00:00,23:00:00,Reception Executive,Active,491,Temporary Assignment,System,System,2024-03-30,2024-04-03
105,246,7,14,39791,2024-12-18,Evening,15:00:00,23:00:00,Staff Nurse,Active,482,Temporary Assignment,System,System,2024-12-18,2024-12-21
106,248,9,9,41920,2025-01-04,Morning,07:00:00,15:00:00,Staff Nurse,Active,201,System Generated,System,System,2025-01-04,2025-01-05
107,251,8,1,5601,2025-04-30,Morning,07:00:00,15:00:00,Pharmacist,Completed,154,System Generated,System,System,2025-04-30,2025-05-02
108,254,2,17,29125,2023-05-24,Morning,07:00:00,15:00:00,Pharmacist,Active,450,Emergency Coverage,System,System,2023-05-24,2023-05-27
109,256,1,9,27644,2025-06-03,Night,23:00:00,07:00:00,Staff Nurse,Active,73,Temporary Assignment,System,System,2025-06-03,2025-06-08
110,259,7,5,40765,2025-12-28,Night,23:00:00,07:00:00,Staff Nurse,Active,201,Shift Completed,System,System,2025-12-28,2026-01-03
111,261,7,26,9008,2024-01-31,Night,23:00:00,07:00:00,Ward Assistant,Active,296,On Duty,System,System,2024-01-31,2024-01-31
112,268,8,14,37411,2025-11-14,Night,23:00:00,07:00:00,Ward Assistant,Active,17,System Generated,System,System,2025-11-14,2025-11-19
113,271,5,17,44081,2025-08-05,Morning,07:00:00,15:00:00,Emergency Technician,Active,129,On Duty,System,System,2025-08-05,2025-08-10
114,272,3,7,40448,2025-06-09,Night,23:00:00,07:00:00,Ward Assistant,Active,217,On Duty,System,System,2025-06-09,2025-06-15
115,274,8,21,8209,2024-07-22,Morning,07:00:00,15:00:00,Ward Assistant,Active,61,Emergency Coverage,System,System,2024-07-22,2024-07-22
116,275,6,12,18590,2025-11-28,Evening,15:00:00,23:00:00,Pharmacist,Active,427,Temporary Assignment,System,System,2025-11-28,2025-12-03
117,276,11,24,43485,2023-04-19,Night,23:00:00,07:00:00,Staff Nurse,Active,104,System Generated,System,System,2023-04-19,2023-04-22
118,277,3,4,17454,2025-12-01,Night,23:00:00,07:00:00,Staff Nurse,Completed,42,On Duty,System,System,2025-12-01,2025-12-04
119,278,1,21,36213,2025-07-23,Evening,15:00:00,23:00:00,Lab Technician,Active,25,System Generated,System,System,2025-07-23,2025-07-26
120,280,3,12,43526,2024-02-02,Evening,15:00:00,23:00:00,Reception Executive,Active,39,Shift Completed,System,System,2024-02-02,2024-02-02
121,284,5,13,32636,2024-09-25,Night,23:00:00,07:00:00,Ward Assistant,Active,291,Emergency Coverage,System,System,2024-09-25,2024-09-30
122,285,3,16,33829,2025-01-02,Morning,07:00:00,15:00:00,Emergency Technician,Active,131,Shift Completed,System,System,2025-01-02,2025-01-02
123,286,1,19,18712,2023-08-23,Evening,15:00:00,23:00:00,Staff Nurse,Active,498,System Generated,System,System,2023-08-23,2023-08-26
124,288,5,12,3421,2024-10-19,Night,23:00:00,07:00:00,Ward Assistant,Active,229,System Generated,System,System,2024-10-19,2024-10-25
125,292,10,2,31217,2025-01-20,Morning,07:00:00,15:00:00,Emergency Technician,Cancelled,108,Temporary Assignment,System,System,2025-01-20,2025-01-25
126,293,7,3,302,2024-08-10,Night,23:00:00,07:00:00,Staff Nurse,Active,172,On Duty,System,System,2024-08-10,2024-08-15
127,295,7,22,700,2025-10-29,Morning,07:00:00,15:00:00,Staff Nurse,Active,435,On Duty,System,System,2025-10-29,2025-11-02
128,298,11,15,191,2025-08-11,Morning,07:00:00,15:00:00,Ward Assistant,Active,478,Shift Completed,System,System,2025-08-11,2025-08-15
129,300,9,19,10493,2024-05-06,Night,23:00:00,07:00:00,Staff Nurse,Cancelled,102,Emergency Coverage,System,System,2024-05-06,2024-05-07
130,304,10,6,35744,2025-07-01,Evening,15:00:00,23:00:00,Staff Nurse,Active,354,On Duty,System,System,2025-07-01,2025-07-03
131,308,10,21,6103,2023-06-19,Night,23:00:00,07:00:00,Staff Nurse,Active,12,Temporary Assignment,System,System,2023-06-19,2023-06-23
132,310,3,1,19779,2025-08-03,Night,23:00:00,07:00:00,Staff Nurse,Active,275,Shift Completed,System,System,2025-08-03,2025-08-03
133,311,7,12,26642,2025-03-05,Night,23:00:00,07:00:00,Staff Nurse,Completed,101,Shift Completed,System,System,2025-03-05,2025-03-09
134,312,1,25,34585,2024-09-25,Night,23:00:00,07:00:00,Reception Executive,Active,44,Temporary Assignment,System,System,2024-09-25,2024-09-26
135,313,4,17,32746,2023-01-29,Night,23:00:00,07:00:00,Emergency Technician,Completed,443,Emergency Coverage,System,System,2023-01-29,2023-02-03
136,320,4,21,23094,2023-12-05,Morning,07:00:00,15:00:00,Lab Technician,Active,305,Temporary Assignment,System,System,2023-12-05,2023-12-06
137,322,5,7,570,2024-05-14,Evening,15:00:00,23:00:00,Pharmacist,Active,445,Emergency Coverage,System,System,2024-05-14,2024-05-19
138,325,7,1,38211,2024-05-25,Night,23:00:00,07:00:00,Ward Assistant,Active,17,Temporary Assignment,System,System,2024-05-25,2024-05-31
139,326,7,5,34664,2023-08-05,Evening,15:00:00,23:00:00,Staff Nurse,Active,330,Temporary Assignment,System,System,2023-08-05,2023-08-11
140,328,11,8,36632,2025-12-29,Evening,15:00:00,23:00:00,Emergency Technician,Active,57,System Generated,System,System,2025-12-29,2026-01-03
141,330,4,19,7456,2024-03-20,Evening,15:00:00,23:00:00,Emergency Technician,Active,311,Shift Completed,System,System,2024-03-20,2024-03-22
142,333,7,22,4015,2025-05-25,Evening,15:00:00,23:00:00,Pharmacist,Completed,497,Temporary Assignment,System,System,2025-05-25,2025-05-29
143,334,11,2,11094,2023-06-16,Night,23:00:00,07:00:00,Ward Assistant,Active,303,Temporary Assignment,System,System,2023-06-16,2023-06-16
144,338,3,21,18071,2023-04-01,Evening,15:00:00,23:00:00,Staff Nurse,Active,12,On Duty,System,System,2023-04-01,2023-04-01
145,341,6,13,35778,2024-12-14,Evening,15:00:00,23:00:00,Staff Nurse,Active,318,Shift Completed,System,System,2024-12-14,2024-12-17
146,343,2,9,16539,2023-02-08,Morning,07:00:00,15:00:00,Ward Assistant,Active,80,On Duty,System,System,2023-02-08,2023-02-13
147,347,10,21,10730,2023-06-22,Night,23:00:00,07:00:00,Lab Technician,Active,216,Shift Completed,System,System,2023-06-22,2023-06-22
148,348,9,27,34178,2024-10-14,Morning,07:00:00,15:00:00,Emergency Technician,Active,339,On Duty,System,System,2024-10-14,2024-10-16
149,353,5,1,785,2025-01-23,Night,23:00:00,07:00:00,Ward Assistant,Active,264,Temporary Assignment,System,System,2025-01-23,2025-01-28
150,357,6,17,27752,2025-12-17,Morning,07:00:00,15:00:00,Reception Executive,Completed,479,Temporary Assignment,System,System,2025-12-17,2025-12-19
151,367,4,25,40865,2024-04-20,Morning,07:00:00,15:00:00,Emergency Technician,Completed,149,System Generated,System,System,2024-04-20,2024-04-20
152,370,11,20,40329,2024-03-31,Morning,07:00:00,15:00:00,Staff Nurse,Active,81,On Duty,System,System,2024-03-31,2024-03-31
153,371,10,13,12534,2025-04-08,Evening,15:00:00,23:00:00,Staff Nurse,Active,215,Emergency Coverage,System,System,2025-04-08,2025-04-11
154,378,7,11,40112,2025-06-13,Evening,15:00:00,23:00:00,Staff Nurse,Active,485,System Generated,System,System,2025-06-13,2025-06-13
155,385,9,12,39975,2025-10-21,Evening,15:00:00,23:00:00,Staff Nurse,Active,374,On Duty,System,System,2025-10-21,2025-10-26
156,386,7,25,5802,2024-01-22,Night,23:00:00,07:00:00,Staff Nurse,Active,464,On Duty,System,System,2024-01-22,2024-01-28
157,390,1,26,19191,2023-12-14,Night,23:00:00,07:00:00,Staff Nurse,Active,198,System Generated,System,System,2023-12-14,2023-12-19
158,391,1,16,38755,2023-07-09,Evening,15:00:00,23:00:00,Staff Nurse,Active,200,Temporary Assignment,System,System,2023-07-09,2023-07-14
159,394,9,9,29593,2024-05-19,Evening,15:00:00,23:00:00,Staff Nurse,Active,25,On Duty,System,System,2024-05-19,2024-05-22
160,395,11,15,10648,2025-04-03,Night,23:00:00,07:00:00,Reception Executive,Active,466,Temporary Assignment,System,System,2025-04-03,2025-04-06
161,400,9,17,8717,2025-07-17,Night,23:00:00,07:00:00,Staff Nurse,Active,89,System Generated,System,System,2025-07-17,2025-07-17
162,401,4,14,23356,2025-07-22,Night,23:00:00,07:00:00,Emergency Technician,Active,268,Temporary Assignment,System,System,2025-07-22,2025-07-23
163,402,9,1,22010,2023-05-14,Evening,15:00:00,23:00:00,Ward Assistant,Active,143,Shift Completed,System,System,2023-05-14,2023-05-15
164,404,3,13,24377,2023-02-27,Night,23:00:00,07:00:00,Reception Executive,Active,59,Emergency Coverage,System,System,2023-02-27,2023-03-02
165,405,7,18,4781,2024-11-15,Morning,07:00:00,15:00:00,Staff Nurse,Active,410,On Duty,System,System,2024-11-15,2024-11-15
166,408,6,10,2369,2024-11-02,Night,23:00:00,07:00:00,Ward Assistant,Completed,489,Emergency Coverage,System,System,2024-11-02,2024-11-03
167,412,8,22,12040,2023-06-22,Morning,07:00:00,15:00:00,Reception Executive,Active,365,Temporary Assignment,System,System,2023-06-22,2023-06-22
168,414,11,22,6656,2025-03-25,Morning,07:00:00,15:00:00,Reception Executive,Active,26,On Duty,System,System,2025-03-25,2025-03-25
169,417,9,7,40942,2023-03-21,Morning,07:00:00,15:00:00,Pharmacist,Active,47,Temporary Assignment,System,System,2023-03-21,2023-03-21
170,419,5,22,4496,2025-06-04,Evening,15:00:00,23:00:00,Staff Nurse,Active,288,Shift Completed,System,System,2025-06-04,2025-06-08
171,420,1,3,10894,2023-07-22,Morning,07:00:00,15:00:00,Staff Nurse,Active,266,System Generated,System,System,2023-07-22,2023-07-27
172,421,3,12,25548,2025-02-02,Night,23:00:00,07:00:00,Lab Technician,Active,16,On Duty,System,System,2025-02-02,2025-02-02
173,423,10,20,22387,2023-02-16,Morning,07:00:00,15:00:00,Reception Executive,Completed,199,Shift Completed,System,System,2023-02-16,2023-02-20
174,424,8,25,13404,2024-10-17,Night,23:00:00,07:00:00,Emergency Technician,Completed,401,Shift Completed,System,System,2024-10-17,2024-10-20
175,431,11,8,32098,2024-04-15,Night,23:00:00,07:00:00,Emergency Technician,Active,407,On Duty,System,System,2024-04-15,2024-04-16
176,432,6,16,13122,2025-08-28,Morning,07:00:00,15:00:00,Staff Nurse,Active,282,Temporary Assignment,System,System,2025-08-28,2025-09-02
177,433,8,12,10967,2025-11-01,Night,23:00:00,07:00:00,Pharmacist,Active,469,Shift Completed,System,System,2025-11-01,2025-11-07
178,434,9,8,33622,2025-01-05,Morning,07:00:00,15:00:00,Staff Nurse,Active,86,Emergency Coverage,System,System,2025-01-05,2025-01-06
179,435,4,6,28313,2025-02-22,Night,23:00:00,07:00:00,Staff Nurse,Completed,250,Shift Completed,System,System,2025-02-22,2025-02-27
180,437,1,16,22678,2025-08-25,Morning,07:00:00,15:00:00,Ward Assistant,Active,391,Temporary Assignment,System,System,2025-08-25,2025-08-31
181,438,1,1,31290,2023-12-24,Night,23:00:00,07:00:00,Ward Assistant,Active,270,Temporary Assignment,System,System,2023-12-24,2023-12-25
182,439,10,22,31025,2025-08-29,Evening,15:00:00,23:00:00,Staff Nurse,Active,335,Emergency Coverage,System,System,2025-08-29,2025-09-03
183,442,4,1,42676,2024-10-29,Night,23:00:00,07:00:00,Staff Nurse,Active,117,Shift Completed,System,System,2024-10-29,2024-10-30
184,446,7,25,4778,2024-01-08,Morning,07:00:00,15:00:00,Emergency Technician,Active,7,Temporary Assignment,System,System,2024-01-08,2024-01-09
185,447,2,2,29750,2025-10-28,Night,23:00:00,07:00:00,Staff Nurse,Active,137,On Duty,System,System,2025-10-28,2025-11-03
186,448,3,19,15339,2024-11-06,Evening,15:00:00,23:00:00,Emergency Technician,Active,371,System Generated,System,System,2024-11-06,2024-11-07
187,451,1,13,2492,2023-03-31,Morning,07:00:00,15:00:00,Staff Nurse,Completed,176,System Generated,System,System,2023-03-31,2023-04-01
188,452,5,18,27237,2024-11-28,Morning,07:00:00,15:00:00,Ward Assistant,Completed,328,System Generated,System,System,2024-11-28,2024-12-04
189,454,1,22,14600,2024-06-23,Evening,15:00:00,23:00:00,Emergency Technician,Active,498,Shift Completed,System,System,2024-06-23,2024-06-26
190,456,8,9,19509,2025-01-01,Evening,15:00:00,23:00:00,Staff Nurse,Active,315,Emergency Coverage,System,System,2025-01-01,2025-01-01
191,457,1,3,3052,2025-05-18,Morning,07:00:00,15:00:00,Staff Nurse,Active,215,Temporary Assignment,System,System,2025-05-18,2025-05-20
192,458,11,6,21607,2023-02-10,Night,23:00:00,07:00:00,Staff Nurse,Active,477,On Duty,System,System,2023-02-10,2023-02-14
193,459,1,17,21700,2025-01-09,Evening,15:00:00,23:00:00,Staff Nurse,Active,82,On Duty,System,System,2025-01-09,2025-01-11
