insurance_provider_id,provider_name,provider_type,contact_details,coverage_limit,provider_code,claim_processing_days,network_type,coverage_type,claim_settlement_ratio,cashless_available,pre_authorization_required,max_claim_amount,policy_validity_years,support_email,grievance_email,support_phone,website,provider_status,created_by,updated_by,created_date,updated_date
15,Gala and Sons Health Insurance,Govt,1068376723,1000000,INS015,15,National Network,Government Health Scheme,96.5,Yes,Yes,500000,1,galaandsonshealthinsurance@insurance.com,grievance@galaandsonshealthinsurance.com,+91-1800-488559,www.galaandsonshealthinsurance.com,Active,System,System,2023-01-01,2025-01-01
16,Upadhyay-Dalal Health Insurance,Govt,996810588,2000000,INS016,15,National Network,Government Health Scheme,96.5,Yes,Yes,500000,1,upadhyay-dalalhealthinsurance@insurance.com,grievance@upadhyay-dalalhealthinsurance.com,+91-1800-249287,www.upadhyay-dalalhealthinsurance.com,Active,System,System,2023-01-01,2025-01-01
17,Basak-Konda Health Insurance,Govt,1867211462,1000000,INS017,15,National Network,Government Health Scheme,96.5,Yes,Yes,500000,1,basak-kondahealthinsurance@insurance.com,grievance@basak-kondahealthinsurance.com,+91-1800-343630,www.basak-kondahealthinsurance.com,Active,System,System,2023-01-01,2025-01-01
18,Chandra PLC Health Insurance,Private,3911547694,200000,INS018,7,Regional Network,Individual Health Insurance,93.2,Yes,Yes,1000000,1,chandraplchealthinsurance@insurance.com,grievance@chandraplchealthinsurance.com,+91-1800-897043,www.chandraplchealthinsurance.com,Active,System,System,2023-01-01,2025-01-01
19,Bahl Inc Health Insurance,Govt,916386609151,500000,INS019,15,National Network,Government Health Scheme,96.5,Yes,Yes,500000,1,bahlinchealthinsurance@insurance.com,grievance@bahlinchealthinsurance.com,+91-1800-566600,www.bahlinchealthinsurance.com,Active,System,System,2023-01-01,2025-01-01
20,"Sheth, Gera and Nagi Health Insurance",Private,6890270608,1500000,INS020,7,Regional Network,Individual Health Insurance,93.2,Yes,Yes,1000000,1,shethgeraandnagihealthinsurance@insurance.com,grievance@shethgeraandnagihealthinsurance.com,+91-1800-300086,www.shethgeraandnagihealthinsurance.com,Active,System,System,2023-01-01,2025-01-01
21,Pillai Ltd Health Insurance,Govt,3549787488,300000,INS021,15,National Network,Government Health Scheme,96.5,Yes,Yes,500000,1,pillailtdhealthinsurance@insurance.com,grievance@pillailtdhealthinsurance.com,+91-1800-433540,www.pillailtdhealthinsurance.com,Active,System,System,2023-01-01,2025-01-01
22,Pandya-Vig Health Insurance,Govt,8246700674,500000,INS022,15,National Network,Government Health Scheme,96.5,Yes,Yes,500000,1,pandya-vighealthinsurance@insurance.com,grievance@pandya-vighealthinsurance.com,+91-1800-791061,www.pandya-vighealthinsurance.com,Active,System,System,2023-01-01,2025-01-01
23,Batra-Mane Health Insurance,Govt,4455217126,200000,INS023,15,National Network,Government Health Scheme,96.5,Yes,Yes,500000,1,batra-manehealthinsurance@insurance.com,grievance@batra-manehealthinsurance.com,+91-1800-108428,www.batra-manehealthinsurance.com,Active,System,System,2023-01-01,2025-01-01
24,Patil Inc Health Insurance,Private,912945962174,1500000,INS024,7,Regional Network,Individual Health Insurance,93.2,Yes,Yes,1000000,1,patilinchealthinsurance@insurance.com,grievance@patilinchealthinsurance.com,+91-1800-846900,www.patilinchealthinsurance.com,Active,System,System,2023-01-01,2025-01-01
25,"Chauhan, Kakar and Saxena Health Insurance",Private,9203705346,300000,INS025,7,Regional Network,Individual Health Insurance,93.2,Yes,Yes,1000000,1,chauhankakarandsaxenahealthinsurance@insurance.com,grievance@chauhankakarandsaxenahealthinsurance.com,+91-1800-494424,www.chauhankakarandsaxenahealthinsurance.com,Active,System,System,2023-01-01,2025-01-01
26,Dhawan Ltd Health Insurance,Govt,515546544,1000000,INS026,15,National Network,Government Health Scheme,96.5,Yes,Yes,500000,1,dhawanltdhealthinsurance@insurance.com,grievance@dhawanltdhealthinsurance.com,+91-1800-890578,www.dhawanltdhealthinsurance.com,Active,System,System,2023-01-01,2025-01-01
27,Andra LLC Health Insurance,Govt,4315671051,500000,INS027,15,National Network,Government Health Scheme,96.5,Yes,Yes,500000,1,andrallchealthinsurance@insurance.com,grievance@andrallchealthinsurance.com,+91-1800-113764,www.andrallchealthinsurance.com,Active,System,System,2023-01-01,2025-01-01
28,Barman-Vasa Health Insurance,Govt,5414480839,1500000,INS028,15,National Network,Government Health Scheme,96.5,Yes,Yes,500000,1,barman-vasahealthinsurance@insurance.com,grievance@barman-vasahealthinsurance.com,+91-1800-185251,www.barman-vasahealthinsurance.com,Active,System,System,2023-01-01,2025-01-01
29,"Singh, Khurana and Suri Health Insurance",Private,7554967153,200000,INS029,7,Regional Network,Individual Health Insurance,93.2,Yes,Yes,1000000,1,singhkhuranaandsurihealthinsurance@insurance.com,grievance@singhkhuranaandsurihealthinsurance.com,+91-1800-881753,www.singhkhuranaandsurihealthinsurance.com,Active,System,System,2023-01-01,2025-01-01
30,"Jain, Peri and Dave Health Insurance",Private,1852214357,1000000,INS030,7,Regional Network,Individual Health Insurance,93.2,Yes,Yes,1000000,1,jainperianddavehealthinsurance@insurance.com,grievance@jainperianddavehealthinsurance.com,+91-1800-896352,www.jainperianddavehealthinsurance.com,Active,System,System,2023-01-01,2025-01-01
31,Dutta and Sons Health Insurance,Govt,6224835255,500000,INS031,15,National Network,Government Health Scheme,96.5,Yes,Yes,500000,1,duttaandsonshealthinsurance@insurance.com,grievance@duttaandsonshealthinsurance.com,+91-1800-650312,www.duttaandsonshealthinsurance.com,Active,System,System,2023-01-01,2025-01-01
32,Gade LLC Health Insurance,Private,919407524674,300000,INS032,7,Regional Network,Individual Health Insurance,93.2,Yes,Yes,1000000,1,gadellchealthinsurance@insurance.com,grievance@gadellchealthinsurance.com,+91-1800-433547,www.gadellchealthinsurance.com,Active,System,System,2023-01-01,2025-01-01
33,"Shah, Ghose and Sankar Health Insurance",Govt,916326507368,750000,INS033,15,National Network,Government Health Scheme,96.5,Yes,Yes,500000,1,shahghoseandsankarhealthinsurance@insurance.com,grievance@shahghoseandsankarhealthinsurance.com,+91-1800-786284,www.shahghoseandsankarhealthinsurance.com,Active,System,System,2023-01-01,2025-01-01
34,"Loyal, Parikh and Bajwa Health Insurance",Private,2428024855,500000,INS034,7,Regional Network,Individual Health Insurance,93.2,Yes,Yes,1000000,1,loyalparikhandbajwahealthinsurance@insurance.com,grievance@loyalparikhandbajwahealthinsurance.com,+91-1800-172326,www.loyalparikhandbajwahealthinsurance.com,Active,System,System,2023-01-01,2025-01-01
35,Lad-Sekhon Health Insurance,Private,6092106989,2000000,INS035,7,Regional Network,Individual Health Insurance,93.2,Yes,Yes,1000000,1,lad-sekhonhealthinsurance@insurance.com,grievance@lad-sekhonhealthinsurance.com,+91-1800-180535,www.lad-sekhonhealthinsurance.com,Active,System,System,2023-01-01,2025-01-01
36,"Choudhry, Sood and Mall Health Insurance",Govt,911348812207,300000,INS036,15,National Network,Government Health Scheme,96.5,Yes,Yes,500000,1,choudhrysoodandmallhealthinsurance@insurance.com,grievance@choudhrysoodandmallhealthinsurance.com,+91-1800-857748,www.choudhrysoodandmallhealthinsurance.com,Active,System,System,2023-01-01,2025-01-01
37,Badami Inc Health Insurance,Private,8154891562,750000,INS037,7,Regional Network,Individual Health Insurance,93.2,Yes,Yes,1000000,1,badamiinchealthinsurance@insurance.com,grievance@badamiinchealthinsurance.com,+91-1800-430600,www.badamiinchealthinsurance.com,Active,System,System,2023-01-01,2025-01-01
38,"Suresh, Bath and Choudhry Health Insurance",Govt,7221468283,300000,INS038,15,National Network,Government Health Scheme,96.5,Yes,Yes,500000,1,sureshbathandchoudhryhealthinsurance@insurance.com,grievance@sureshbathandchoudhryhealthinsurance.com,+91-1800-734023,www.sureshbathandchoudhryhealthinsurance.com,Active,System,System,2023-01-01,2025-01-01
39,Gupta-Arya Health Insurance,Govt,918933653338,2000000,INS039,15,National Network,Government Health Scheme,96.5,Yes,Yes,500000,1,gupta-aryahealthinsurance@insurance.com,grievance@gupta-aryahealthinsurance.com,+91-1800-607801,www.gupta-aryahealthinsurance.com,Active,System,System,2023-01-01,2025-01-01
40,Chahal Ltd Health Insurance,Govt,916116685272,1500000,INS040,15,National Network,Government Health Scheme,96.5,Yes,Yes,500000,1,chahalltdhealthinsurance@insurance.com,grievance@chahalltdhealthinsurance.com,+91-1800-353691,www.chahalltdhealthinsurance.com,Active,System,System,2023-01-01,2025-01-01
41,Jha Ltd Health Insurance,Private,4535232543,300000,INS041,7,Regional Network,Individual Health Insurance,93.2,Yes,Yes,1000000,1,jhaltdhealthinsurance@insurance.com,grievance@jhaltdhealthinsurance.com,+91-1800-192260,www.jhaltdhealthinsurance.com,Active,System,System,2023-01-01,2025-01-01
42,Shetty LLC Health Insurance,Govt,6746087793,300000,INS042,15,National Network,Government Health Scheme,96.5,Yes,Yes,500000,1,shettyllchealthinsurance@insurance.com,grievance@shettyllchealthinsurance.com,+91-1800-844747,www.shettyllchealthinsurance.com,Active,System,System,2023-01-01,2025-01-01
43,"Ahluwalia, Shan and Dass Health Insurance",Private,6922185989,1000000,INS043,7,Regional Network,Individual Health Insurance,93.2,Yes,Yes,1000000,1,ahluwaliashananddasshealthinsurance@insurance.com,grievance@ahluwaliashananddasshealthinsurance.com,+91-1800-995719,www.ahluwaliashananddasshealthinsurance.com,Active,System,System,2023-01-01,2025-01-01
44,Aggarwal-Bose Health Insurance,Private,910136991519,200000,INS044,7,Regional Network,Individual Health Insurance,93.2,Yes,Yes,1000000,1,aggarwal-bosehealthinsurance@insurance.com,grievance@aggarwal-bosehealthinsurance.com,+91-1800-721447,www.aggarwal-bosehealthinsurance.com,Active,System,System,2023-01-01,2025-01-01
45,"Shah, Chokshi and Dhaliwal Health Insurance",Govt,914068377066,500000,INS045,15,National Network,Government Health Scheme,96.5,Yes,Yes,500000,1,shahchokshianddhaliwalhealthinsurance@insurance.com,grievance@shahchokshianddhaliwalhealthinsurance.com,+91-1800-122038,www.shahchokshianddhaliwalhealthinsurance.com,Active,System,System,2023-01-01,2025-01-01
46,Lall Inc Health Insurance,Govt,1762425746,750000,INS046,15,National Network,Government Health Scheme,96.5,Yes,Yes,500000,1,lallinchealthinsurance@insurance.com,grievance@lallinchealthinsurance.com,+91-1800-960726,www.lallinchealthinsurance.com,Active,System,System,2023-01-01,2025-01-01
47,Sheth LLC Health Insurance,Govt,1344211666,1000000,INS047,15,National Network,Government Health Scheme,96.5,Yes,Yes,500000,1,shethllchealthinsurance@insurance.com,grievance@shethllchealthinsurance.com,+91-1800-986569,www.shethllchealthinsurance.com,Active,System,System,2023-01-01,2025-01-01
48,Naidu-Devi Health Insurance,Govt,912386008501,500000,INS048,15,National Network,Government Health Scheme,96.5,Yes,Yes,500000,1,naidu-devihealthinsurance@insurance.com,grievance@naidu-devihealthinsurance.com,+91-1800-829938,www.naidu-devihealthinsurance.com,Active,System,System,2023-01-01,2025-01-01
49,Grewal-Rau Health Insurance,Private,7830774518,1500000,INS049,7,Regional Network,Individual Health Insurance,93.2,Yes,Yes,1000000,1,grewal-rauhealthinsurance@insurance.com,grievance@grewal-rauhealthinsurance.com,+91-1800-460039,www.grewal-rauhealthinsurance.com,Active,System,System,2023-01-01,2025-01-01
50,Patla-Iyer Health Insurance,Govt,2579164322,500000,INS050,15,National Network,Government Health Scheme,96.5,Yes,Yes,500000,1,patla-iyerhealthinsurance@insurance.com,grievance@patla-iyerhealthinsurance.com,+91-1800-611793,www.patla-iyerhealthinsurance.com,Active,System,System,2023-01-01,2025-01-01
